title,price,category,condition,description,location,images
iPhone 13 Pro Max - 256GB - PTA Approved,185000,Mobile Phones,Like New,"iPhone 13 Pro Max in pristine condition. 256GB storage, PTA approved, 88% battery health. Comes with original box and cable.","Lahore, Pakistan","iphone1.jpg, iphone2.jpg"
Men's Leather Jacket - Black - Medium,8500,Men's Clothing,New,"Premium quality genuine leather jacket. Size: Medium, Color: Black. Brand new, never worn. Very warm and stylish.","Karachi, Pakistan","jacket1.jpg, jacket2.jpg"
Wooden Coffee Table for Living Room,15000,Furniture,Good,"Solid wood coffee table with storage drawer. Minimal scratches, overall excellent condition. Dimensions: 3x2 feet.","Islamabad, Pakistan","table1.jpg,table2.jpg"
Samsung Galaxy S23 Ultra - 256GB - PTA Approved,225000,Mobile Phones,Like New,"Samsung Galaxy S23 Ultra in excellent condition. 256GB storage, PTA approved, 95% battery health. S-Pen included. Comes with original box and charger.","Karachi, Pakistan","s23ultra1.jpg, s23ultra2.jpg"
Honda City 2020 - 1.3L - Automatic,3800000,Cars,Good,"Honda City 2020 automatic in silver color. 45,000 km driven, all genuine. First owner, company maintained. Complete documentation available. No accident history.","Lahore, Pakistan","city1.jpg, city2.jpg, city3.jpg"
Dell XPS 15 Laptop - Core i7 - 16GB RAM - 512GB SSD,180000,Laptops,Good,"Dell XPS 15 (2021) with Intel Core i7-11800H, 16GB DDR4 RAM, 512GB NVMe SSD, NVIDIA GTX 1650. Minor cosmetic wear on bottom. Excellent performance, battery lasts 5-6 hours.","Karachi, Pakistan","dellxps1.jpg, dellxps2.jpg"
2 Bedroom Apartment for Rent - DHA Phase 6,75000,Property for Rent,New,"Fully furnished 2-bedroom apartment available in DHA Phase 6, Karachi. Ground floor, 24/7 security, backup generator, 1200 sq ft. Near main boulevard. Ideal for small families.","Karachi, Pakistan","apt1.jpg, apt2.jpg, apt3.jpg"
Haier DC Inverter AC 1.5 Ton - HSU-18HFPAA,95000,Home Appliances,Like New,"Haier DC Inverter AC 1.5 Ton, only 1 season used. Cooling and heating mode. Energy efficient. Comes with remote, original installation kit and warranty card. Reason for sale: relocating.","Islamabad, Pakistan","ac1.jpg, ac2.jpg"
Women's Branded Khaadi Lawn Suit - Unstitched - 3PC,4500,Women's Clothing,New,"Original Khaadi unstitched lawn 3-piece suit from latest summer collection. Shirt, trouser, dupatta included. Beautiful floral print. Never used, still in original packaging with tags.","Lahore, Pakistan","suit1.jpg, suit2.jpg"
Sony PlayStation 4 Slim - 1TB - 2 Controllers,45000,Gaming,Good,"PS4 Slim 1TB with 2 original DualShock 4 controllers. Comes with 5 games: FIFA 23, GTA V, God of War, Spider-Man, Mortal Kombat 11. All cables included. Works perfectly.","Rawalpindi, Pakistan","ps4_1.jpg, ps4_2.jpg"
Royal Enfield Meteor 350 - 2022 Model,950000,Motorcycles,Like New,"Royal Enfield Meteor 350 in Fireball Red, 2022 model. Only 8,000 km driven. All original, no modifications. Complete documents, genuine parts only. A real head-turner.","Karachi, Pakistan","meteor1.jpg, meteor2.jpg, meteor3.jpg"
Dawlance Refrigerator - 14 Cubic Feet - Double Door,42000,Home Appliances,Good,"Dawlance 14 cubic feet double door refrigerator in silver. 4 years old, working perfectly fine. Inverter technology, energy saver. Minor dent on side panel. Full cooling capacity intact.","Hyderabad, Pakistan","fridge1.jpg, fridge2.jpg"
Kids Bicycle - 20 Inch - Imported - Age 7-12,7500,Kids Items,Good,"Imported kids bicycle, 20-inch wheels, suitable for ages 7–12. Blue and black color. Gears, handbrakes, and side support wheels included. Minor rust on chain, otherwise great condition.","Lahore, Pakistan",bicycle1.jpg
Office Chair - Executive Ergonomic - High Back,12500,Furniture,Like New,"High-back executive ergonomic office chair with lumbar support, armrests, and height adjustment. Black mesh design. Used for 6 months at home office. No tears or damage.","Karachi, Pakistan","chair1.jpg, chair2.jpg"
Canon EOS 700D DSLR Camera - 18-55mm Lens,65000,Cameras,Good,"Canon EOS 700D with 18-55mm kit lens. Shutter count around 12,000. Sensor clean, autofocus smooth. Comes with 16GB SD card, original charger, bag, and strap. Great for beginners.","Islamabad, Pakistan","canon1.jpg, canon2.jpg"
Home Tutor Available - O Level Maths & Physics,8000,Services,New,"Experienced home tutor offering O Level Maths and Physics tuition. 5 years experience, A/A* results for past students. Flexible timings, available 6 days a week. Monthly fee Rs. 8000 per subject.","Karachi, Pakistan",tutor_profile.jpg
